time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-05-03T22:35:07.600Z,-5.5228,151.8552,35,5.5,mb,,37,1.358,0.69,us,us20002b1x,2015-05-19T03:08:41.114Z,"137km SSW of Kokopo, Papua New Guinea",earthquake
2015-05-03T22:32:39.010Z,-5.6314,151.6757,24,6,mww,,15,1.511,0.73,us,us20002b1r,2015-05-19T02:53:11.039Z,"155km SSW of Kokopo, Papua New Guinea",earthquake
2015-05-03T20:21:56.360Z,-5.6702,151.9164,75.99,5.2,mb,,132,5.795,0.86,us,us20002b11,2015-05-04T04:24:52.110Z,"150km SSW of Kokopo, Papua New Guinea",earthquake
2015-05-03T04:17:40.040Z,8.9464,-40.4757,10,5.1,mb,,39,15.368,0.86,us,us20002axw,2015-05-03T12:22:41.900Z,"Central Mid-Atlantic Ridge",earthquake
2015-05-03T04:02:52.190Z,37.4929,141.5151,42.41,5,mb,,123,0.687,0.68,us,us20002axt,2015-05-07T13:18:42.900Z,"45km E of Namie, Japan",earthquake
2015-05-02T16:50:46.840Z,31.5938,140.1671,32.54,5.7,mb,,102,1.546,1.48,us,us20002avl,2015-05-09T19:56:29.000Z,"168km SSE of Hachijo-jima, Japan",earthquake
2015-05-02T10:53:06.150Z,-5.0663,151.8106,103.4,5,mb,,59,0.937,0.98,us,us20002aul,2015-05-02T18:55:41.271Z,"93km SSW of Kokopo, Papua New Guinea",earthquake
2015-05-02T08:23:44.620Z,34.3274,25.7165,13.88,5,mb,,48,1.175,0.61,us,us20002au8,2015-05-02T16:26:21.230Z,"75km S of Ierapetra, Greece",earthquake
2015-05-02T05:35:46.360Z,28.2745,84.6212,10,5,mb,,91,1.96,0.85,us,us20002atq,2015-05-08T05:06:28.565Z,"25km E of Khudi, Nepal",earthquake
2015-05-01T08:58:41.570Z,10.7048,91.984,26.89,5.3,mb,,98,1.203,0.71,us,us20002aml,2015-05-01T14:37:39.993Z,"135km SW of Port Blair, India",earthquake
2015-05-01T08:06:04.990Z,-5.196,151.8013,57.04,6.8,mww,,18,1.061,0.77,us,us20002am6,2015-05-18T03:56:40.000Z,"106km SSW of Kokopo, Papua New Guinea",earthquake
2015-05-01T02:46:21.900Z,-9.4437,112.9251,68.29,5,mb,,44,1.55,1.13,us,us20002al3,2015-05-13T01:48:26.828Z,"117km SSE of Krajan Tambakrejo, Indonesia",earthquake
2015-05-01T00:21:08.270Z,-21.8264,170.7323,130.85,5.1,mb,,43,3.988,0.73,us,us20002aki,2015-05-10T21:21:03.320Z,"150km WNW of Ile Hunter, New Caledonia",earthquake
2015-04-30T10:45:05.260Z,-5.3917,151.8179,48.88,6.7,mwc,,15,1.241,0.96,us,us20002ag9,2015-05-17T12:57:53.000Z,"125km SSW of Kokopo, Papua New Guinea",earthquake
2015-04-30T10:19:08.440Z,-60.403,-26.8476,10,5.8,mb,,54,14.769,1.26,us,us20002ag2,2015-05-18T03:56:39.000Z,"153km S of Bristol Island, South Sandwich Islands",earthquake
2015-04-29T16:09:51.830Z,40.0485,142.8086,37.3,5.4,mww,,36,1.788,0.59,us,us20002a7q,2015-05-22T00:42:43.699Z,"86km ENE of Miyako, Japan",earthquake
2015-04-29T11:22:42.190Z,11.9115,-88.9266,31.38,5,mb,,116,1.789,1.05,us,us20002a56,2015-04-29T19:25:24.483Z,"157km SSW of Puerto El Triunfo, El Salvador",earthquake
2015-04-29T06:54:37.370Z,-31.6416,-174.5316,10,5.1,mb,,157,8.348,1.01,us,us20002a2h,2015-04-29T14:58:00.727Z,"Kermadec Islands region",earthquake
2015-04-29T00:26:51.540Z,25.9762,128.397,14.21,5,mb,,111,0.863,0.78,us,us20002a0t,2015-05-22T00:41:05.356Z,"65km SE of Haebaru, Japan",earthquake
2015-04-28T18:56:53.460Z,17.1424,-94.9899,111,5.5,mww,,43,2.864,1.15,us,us200029ys,2015-05-17T12:57:52.000Z,"8km E of Palomares, Mexico",earthquake
2015-04-28T16:39:39.080Z,-20.8661,-178.6384,579.35,6.1,mww,,24,4.404,0.88,us,us200029x8,2015-05-18T03:56:37.000Z,"24km SSE of Ndoi Island, Fiji",earthquake
2015-04-28T13:32:40.250Z,6.05,152.0387,15.82,5.1,mb,,59,16.104,0.7,us,us200029vw,2015-04-28T21:35:15.505Z,"113km SW of Piis, Micronesia",earthquake
2015-04-28T11:19:52.230Z,-2.1511,-79.672,99.97,5.3,mb,,52,2.668,1.15,us,us200029t7,2015-04-29T15:32:17.157Z,"4km SSE of Yaguachi, Ecuador",earthquake
2015-04-27T12:35:52.590Z,26.8283,88.0476,27.04,5.1,mb,,29,2.586,0.65,us,us200029k7,2015-05-11T09:22:25.880Z,"14km SE of Ilam, Nepal",earthquake
2015-04-26T23:35:29.890Z,-8.3057,-79.8134,22,5.6,mww,,41,4.684,0.8,us,us200029gw,2015-05-18T03:56:36.000Z,"74km WSW of Santiago de Cao, Peru",earthquake
